model_code,name,serie,install_type,energy_class,avg_rating,review_count,is_discontinued,url,highlights,has_home_connect,has_home_connect_evidence,has_smart_start,has_smart_start_evidence,has_programme_download,has_programme_download_evidence,has_intelligent_prog,has_intelligent_prog_evidence,has_wash_assistant,has_wash_assistant_evidence,has_efficient_dry,has_efficient_dry_evidence,has_perfect_dry,has_perfect_dry_evidence,has_extra_clean_zone,has_extra_clean_zone_evidence,has_hygiene_certified,has_hygiene_certified_evidence,has_remote_diagnostics,has_remote_diagnostics_evidence,has_green_collection,has_green_collection_evidence,has_silent_power_drive,has_silent_power_drive_evidence,has_aquastop,has_aquastop_evidence,has_time_light,has_time_light_evidence,has_emotion_light,has_emotion_light_evidence,has_status_light,has_status_light_evidence,has_open_assist,has_open_assist_evidence,has_rackmatic,has_rackmatic_evidence,has_max_flex_pro,has_max_flex_pro_evidence,has_dosage_assist,has_dosage_assist_evidence,has_vario_hinge,has_vario_hinge_evidence,has_favorite_program,has_favorite_program_evidence
SBH4ECX21E,"Serie 4Lavastoviglie da incasso a scomparsa totale 60 cm XXL, Cerniere Sliding",Serie 4,built-in,B,4.7,97,False,https://www.bosch-home.com/it/it/mkt-product/lavastoviglie/lavastoviglie-da-incasso/lavastoviglie-a-scomparsa-totale-60cm/SBH4ECX21E,"Grazie alle cerniere sliding Vario Hinge è possibile installare la lavastoviglie utilizzando uno zoccolo fino a 5 cm di altezza per avere maggiore flessibilità nel design della cucina. | Home Connect: lavastoviglie connesse per una vita quotidiana più semplice. | Efficient Dry: grazie all'apertura della porta a fine ciclo, il processo di asciugatura risulta più efficace. | Status Light: l'illuminazione nell'angolo in alto a sinistra che ti indica se la lavastoviglie è in funzione. | Livello di igiene certificato per il programma Eco 50 °C e livelli ancora superiori con i programmi Intensive 70 °C e Machine Care. | Diagnostica da remoto: in caso di malfunzionamento, chiama il team di assistenza e verifica lo stato del tuo elettrodomestico. | Programme Download: programmi di lavaggio aggiuntivi per esigenze specifiche. | Assistente al lavaggio: il programma giusto per ogni carico. | RackMatic: cestello superiore regolabile in altezza su 3 livelli | Grazie al vano Dosage Assist, il detersivo si scioglie in modo ottimale favorendone l'efficacia durante il lavaggio. | Programma Preferito. Personalizza la tua lavastoviglie. | SilentPowerDrive: motore potente, silenzioso e duraturo. | Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch in caso di danni causati dall'acqua - per tutta la vita dell'apparecchio.",True,...Home Connect: lavastoviglie connesse per una vita quotidiana più semplic...,False,,True,...Programme Download: programmi di lavaggio aggiuntivi per esigenze specifiche....,False,,True,...Assistente al lavaggio: il programma giusto per ogni carico....,True,"...Efficient Dry: grazie all'apertura della porta a fine ciclo, il processo...",False,,False,,True,...Livello di igiene certificato per il programma Eco 50 °C e livelli ancora sup...,True,"...Diagnostica da remoto: in caso di malfunzionamento, chiama il team di assistenza...",False,,True,"...SilentPowerDrive: motore potente, silenzioso e duraturo....",True,...Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch i...,False,,False,,True,...Status Light: l'illuminazione nell'angolo in alto a sinistra che ti indi...,False,,True,...RackMatic: cestello superiore regolabile in altezza su 3 livelli...,False,,True,"...Grazie al vano Dosage Assist, il detersivo si scioglie in modo ottimale favorendone l'ef...",True,...Grazie alle cerniere sliding Vario Hinge è possibile installare la lavastoviglie utilizzando uno zoc...,True,...Programma Preferito. Personalizza la tua lavastoviglie....
SBH4ECX28E,"Serie 4Lavastoviglie da incasso a scomparsa totale 60 cm XXL, Cerniere Sliding",Serie 4,built-in,A,4.6,50,False,https://www.bosch-home.com/it/it/mkt-product/lavastoviglie/lavastoviglie-da-incasso/lavastoviglie-a-scomparsa-totale-60cm/SBH4ECX28E,"Grazie alle cerniere sliding Vario Hinge è possibile installare la lavastoviglie utilizzando uno zoccolo fino a 5 cm di altezza per avere maggiore flessibilità nel design della cucina. | Lavastoviglie Green Collection: utilizzo di acciaio inox a ridotte emissioni di CO₂. Per un minor impatto ambientale. | Home Connect: controlla la tua lavastoviglie ovunque ti trovi e sfruttane al massimo tutte le potenzialità. | Efficient Dry: grazie all'apertura della porta a fine ciclo, il processo di asciugatura risulta più efficace. | Status Light: l'illuminazione nell'angolo in alto a sinistra che ti indica se la lavastoviglie è in funzione. | Livello di igiene certificato per il programma Eco 50 °C e livelli ancora superiori con i programmi Intensive 70 °C e Machine Care. | Diagnostica da remoto: in caso di malfunzionamento, chiama il team di assistenza e verifica lo stato del tuo elettrodomestico. | Programme Download: programmi di lavaggio aggiuntivi per esigenze specifiche. | Home Connect: lavastoviglie connesse per una vita quotidiana più semplice. | Smart Start: scelta strategica dell'orario di avvio. | Assistente al lavaggio: il programma giusto per ogni carico. | Grazie al vano Dosage Assist, il detersivo si scioglie in modo ottimale favorendone l'efficacia durante il lavaggio. | Programma Preferito. Personalizza la tua lavastoviglie. | Silence on demand: per ridurre ulteriormente il livello sonoro tramite app Home Connect. | SilentPowerDrive: motore potente, silenzioso e duraturo.",True,...Home Connect: controlla la tua lavastoviglie ovunque ti trovi e sfruttan...,True,...Smart Start: scelta strategica dell'orario di avvio....,True,...Programme Download: programmi di lavaggio aggiuntivi per esigenze specifiche....,False,,True,...Assistente al lavaggio: il programma giusto per ogni carico....,True,"...Efficient Dry: grazie all'apertura della porta a fine ciclo, il processo...",False,,False,,True,...Livello di igiene certificato per il programma Eco 50 °C e livelli ancora sup...,True,"...Diagnostica da remoto: in caso di malfunzionamento, chiama il team di assistenza...",True,...Lavastoviglie Green Collection: utilizzo di acciaio inox a ridotte emissioni di CO₂. Per u...,True,"...SilentPowerDrive: motore potente, silenzioso e duraturo....",False,,False,,False,,True,...Status Light: l'illuminazione nell'angolo in alto a sinistra che ti indi...,False,,False,,False,,True,"...Grazie al vano Dosage Assist, il detersivo si scioglie in modo ottimale favorendone l'ef...",True,...Grazie alle cerniere sliding Vario Hinge è possibile installare la lavastoviglie utilizzando uno zoc...,True,...Programma Preferito. Personalizza la tua lavastoviglie....
SCE52M75EU,Il prodotto non è più disponibile,,,,,,True,https://www.bosch-home.com/it/it/mkt-product/lavastoviglie/mini-lavastoviglie/mini-lavastoviglie-da-incasso/SCE52M75EU,"SilentPowerDrive: motore potente, silenzioso e duraturo. | Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch in caso di danni causati dall'acqua - per tutta la vita dell'apparecchio.",False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,"...SilentPowerDrive: motore potente, silenzioso e duraturo....",True,...Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch i...,False,,False,,False,,False,,False,,False,,False,,False,,False,
SCX6ITB00E,Il prodotto non è più disponibile,,,,,,True,https://www.bosch-home.com/it/it/mkt-product/lavastoviglie/mini-lavastoviglie/mini-lavastoviglie-da-incasso/SCX6ITB00E,"SilentPowerDrive: motore potente, silenzioso e duraturo. | Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch in caso di danni causati dall'acqua - per tutta la vita dell'apparecchio.",False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,"...SilentPowerDrive: motore potente, silenzioso e duraturo....",True,...Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch i...,False,,False,,False,,False,,False,,False,,False,,False,,False,
SKE52M75EU,Il prodotto non è più disponibile,,,,,,True,https://www.bosch-home.com/it/it/mkt-product/lavastoviglie/mini-lavastoviglie/mini-lavastoviglie-da-incasso/SKE52M75EU,"SilentPowerDrive: motore potente, silenzioso e duraturo. | Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch in caso di danni causati dall'acqua - per tutta la vita dell'apparecchio.",False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,"...SilentPowerDrive: motore potente, silenzioso e duraturo....",True,...Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch i...,False,,False,,False,,False,,False,,False,,False,,False,,False,
SKS2ITI00E,Il prodotto non è più disponibile,,,,,,True,https://www.bosch-home.com/it/it/mkt-product/lavastoviglie/lavastoviglie-da-libero-posizionamento/lavastoviglie-compatta/SKS2ITI00E,"SilentPowerDrive: motore potente, silenzioso e duraturo. | Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch in caso di danni causati dall'acqua - per tutta la vita dell'apparecchio.",False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,"...SilentPowerDrive: motore potente, silenzioso e duraturo....",True,...Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch i...,False,,False,,False,,False,,False,,False,,False,,False,,False,
SKS6ITB00E,Il prodotto non è più disponibile,,,,,,True,https://www.bosch-home.com/it/it/mkt-product/lavastoviglie/lavastoviglie-da-libero-posizionamento/lavastoviglie-compatta/SKS6ITB00E,"SilentPowerDrive: motore potente, silenzioso e duraturo. | Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch in caso di danni causati dall'acqua - per tutta la vita dell'apparecchio.",False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,"...SilentPowerDrive: motore potente, silenzioso e duraturo....",True,...Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch i...,False,,False,,False,,False,,False,,False,,False,,False,,False,
SMD6ECX12E,Serie 6Lavastoviglie da incasso a scomparsa totale 60 cm,Serie 6,built-in,A,5.0,103,False,https://www.bosch-home.com/it/it/mkt-product/lavastoviglie/lavastoviglie-da-incasso/lavastoviglie-a-scomparsa-totale-60cm/SMD6ECX12E,"Lavastoviglie Green Collection: utilizzo di acciaio inox a ridotte emissioni di CO₂. Per un minor impatto ambientale. | Home Connect: lavastoviglie connesse per una vita quotidiana più semplice. | Efficient Dry: grazie all'apertura della porta a fine ciclo, il processo di asciugatura risulta più efficace. | Extra Clean Zone: zona nel cestello superiore per una pulizia intensiva delle stoviglie più sporche. | Time Light: indicatore luminoso a pavimento che visualizza la fase di lavaggio e il tempo rimanente alla fine del programma. | Open Assist: apertura facile, senza maniglia | Livello di igiene certificato per il programma Eco 50 °C e livelli ancora superiori con i programmi Intensive 70 °C e Machine Care. | Diagnostica da remoto: in caso di malfunzionamento, chiama il team di assistenza e verifica lo stato del tuo elettrodomestico. | Programme Download: programmi di lavaggio aggiuntivi per esigenze specifiche. | Smart Start: scelta strategica dell'orario di avvio. | Assistente al lavaggio: il programma giusto per ogni carico. | Grazie al vano Dosage Assist, il detersivo si scioglie in modo ottimale favorendone l'efficacia durante il lavaggio. | Programma Preferito. Personalizza la tua lavastoviglie. | SilentPowerDrive: motore potente, silenzioso e duraturo. | Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch in caso di danni causati dall'acqua - per tutta la vita dell'apparecchio.",True,...Home Connect: lavastoviglie connesse per una vita quotidiana più semplic...,True,...Smart Start: scelta strategica dell'orario di avvio....,True,...Programme Download: programmi di lavaggio aggiuntivi per esigenze specifiche....,False,,True,...Assistente al lavaggio: il programma giusto per ogni carico....,True,"...Efficient Dry: grazie all'apertura della porta a fine ciclo, il processo...",False,,True,...Extra Clean Zone: zona nel cestello superiore per una pulizia intensiva dell...,True,...Livello di igiene certificato per il programma Eco 50 °C e livelli ancora sup...,True,"...Diagnostica da remoto: in caso di malfunzionamento, chiama il team di assistenza...",True,...Lavastoviglie Green Collection: utilizzo di acciaio inox a ridotte emissioni di CO₂. Per u...,True,"...SilentPowerDrive: motore potente, silenzioso e duraturo....",True,...Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch i...,True,...Time Light: indicatore luminoso a pavimento che visualizza la fase di...,False,,False,,True,"...Open Assist: apertura facile, senza maniglia...",False,,False,,True,"...Grazie al vano Dosage Assist, il detersivo si scioglie in modo ottimale favorendone l'ef...",False,,True,...Programma Preferito. Personalizza la tua lavastoviglie....
SMD6ECX21E,Serie 6Lavastoviglie da incasso a scomparsa totale 60 cm,Serie 6,built-in,A,5.0,11,False,https://www.bosch-home.com/it/it/mkt-product/lavastoviglie/lavastoviglie-da-incasso/lavastoviglie-a-scomparsa-totale-60cm/SMD6ECX21E,"Lavastoviglie Green Collection: utilizzo di acciaio inox a ridotte emissioni di CO₂. Per un minor impatto ambientale. | Home Connect: lavastoviglie connesse per una vita quotidiana più semplice. | Efficient Dry: grazie all'apertura della porta a fine ciclo, il processo di asciugatura risulta più efficace. | Extra Clean Zone: zona nel cestello superiore per una pulizia intensiva delle stoviglie più sporche. | Time Light: indicatore luminoso a pavimento che visualizza la fase di lavaggio e il tempo rimanente alla fine del programma. | Open Assist: apertura facile, senza maniglia | Livello di igiene certificato per il programma Eco 50 °C e livelli ancora superiori con i programmi Intensive 70 °C e Machine Care. | Diagnostica da remoto: in caso di malfunzionamento, chiama il team di assistenza e verifica lo stato del tuo elettrodomestico. | Programme Download: programmi di lavaggio aggiuntivi per esigenze specifiche. | Smart Start: scelta strategica dell'orario di avvio. | Assistente al lavaggio: il programma giusto per ogni carico. | Grazie al vano Dosage Assist, il detersivo si scioglie in modo ottimale favorendone l'efficacia durante il lavaggio. | Programma Preferito. Personalizza la tua lavastoviglie. | SilentPowerDrive: motore potente, silenzioso e duraturo. | Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch in caso di danni causati dall'acqua - per tutta la vita dell'apparecchio.",True,...Home Connect: lavastoviglie connesse per una vita quotidiana più semplic...,True,...Smart Start: scelta strategica dell'orario di avvio....,True,...Programme Download: programmi di lavaggio aggiuntivi per esigenze specifiche....,False,,True,...Assistente al lavaggio: il programma giusto per ogni carico....,True,"...Efficient Dry: grazie all'apertura della porta a fine ciclo, il processo...",False,,True,...Extra Clean Zone: zona nel cestello superiore per una pulizia intensiva dell...,True,...Livello di igiene certificato per il programma Eco 50 °C e livelli ancora sup...,True,"...Diagnostica da remoto: in caso di malfunzionamento, chiama il team di assistenza...",True,...Lavastoviglie Green Collection: utilizzo di acciaio inox a ridotte emissioni di CO₂. Per u...,True,"...SilentPowerDrive: motore potente, silenzioso e duraturo....",True,...Aqua Stop: sistema di protezione antiallagamento con garanzia Bosch i...,True,...Time Light: indicatore luminoso a pavimento che visualizza la fase di...,False,,False,,True,"...Open Assist: apertura facile, senza maniglia...",False,,False,,True,"...Grazie al vano Dosage Assist, il detersivo si scioglie in modo ottimale favorendone l'ef...",False,,True,...Programma Preferito. Personalizza la tua lavastoviglie....
SMD8TCX04E,Serie 8Lavastoviglie da incasso a scomparsa totale 60 cm,Serie 8,built-in,A,4.7,54,False,https://www.bosch-home.com/it/it/mkt-product/lavastoviglie/lavastoviglie-da-incasso/lavastoviglie-a-scomparsa-totale-60cm/SMD8TCX04E,"Lavastoviglie Green Collection: utilizzo di acciaio inox a ridotte emissioni di CO₂. Per un minor impatto ambientale. | Home Connect: lavastoviglie connesse per una vita quotidiana più semplice. | PerfectDry: Risultati di asciugatura fino a 2 volte migliori sulla plastica* | Extra Clean Zone: zona nel cestello superiore per una pulizia intensiva delle stoviglie più sporche. | Time Light: indicatore luminoso a pavimento che visualizza la fase di lavaggio e il tempo rimanente alla fine del programma. | Open Assist: apertura facile, senza maniglia | Livello di igiene certificato per il programma Eco 50 °C e livelli ancora superiori con i programmi Intensive 70 °C e Machine Care. | Diagnostica da remoto: in caso di malfunzionamento, chiama il team di assistenza e verifica lo stato del tuo elettrodomestico. | Programme Download: programmi di lavaggio aggiuntivi per esigenze specifiche. | Intelligent Programme: personalizza il programma di lavaggio in base alle tue preferenze. | Smart Start: scelta strategica dell'orario di avvio. | Assistente al lavaggio: il programma giusto per ogni carico. | Cestelli Max Flex Pro: facilità di carico e protezione per i tuoi piatti. | Emotion Light: l'illuminazione interna della lavastoviglie. | Grazie al vano Dosage Assist, il detersivo si scioglie in modo ottimale favorendone l'efficacia durante il lavaggio.",True,...Home Connect: lavastoviglie connesse per una vita quotidiana più semplic...,True,...Smart Start: scelta strategica dell'orario di avvio....,True,...Programme Download: programmi di lavaggio aggiuntivi per esigenze specifiche....,True,...Intelligent Programme: personalizza il programma di lavaggio in base alle tue pre...,True,...Assistente al lavaggio: il programma giusto per ogni carico....,False,,True,...PerfectDry: Risultati di asciugatura fino a 2 volte migliori sulla pla...,True,...Extra Clean Zone: zona nel cestello superiore per una pulizia intensiva dell...,True,...Livello di igiene certificato per il programma Eco 50 °C e livelli ancora sup...,True,"...Diagnostica da remoto: in caso di malfunzionamento, chiama il team di assistenza...",True,...Lavastoviglie Green Collection: utilizzo di acciaio inox a ridotte emissioni di CO₂. Per u...,False,,False,,True,...Time Light: indicatore luminoso a pavimento che visualizza la fase di...,True,...Emotion Light: l'illuminazione interna della lavastoviglie....,False,,True,"...Open Assist: apertura facile, senza maniglia...",False,,True,...Cestelli Max Flex Pro: facilità di carico e protezione per i tuoi piatti....,True,"...Grazie al vano Dosage Assist, il detersivo si scioglie in modo ottimale favorendone l'ef...",False,,False,
